NUM_PEDIDO;CODCLI;CODVEN;DATA_EMISSAO;VLR_TOTAL;SITUACAO;OBSERVACOES
1;5;3;2005-03-20 01:53:13.497;2.00;E;NULL
2;431;2;2012-12-18 01:53:13.497;30.70;E;Vazio
3;533;1;2012-12-18 01:53:13.497;59.76;E;Vazio
4;142;2;2012-12-18 01:53:13.497;603.25;E;"1000 Canetas Special azul com acess.branco
1000 Bege com acessorios marron
3000 brancas com acessorios 1000 azul / 1000 preto / 1000 verde"
5;179;5;2012-12-18 01:53:13.497;72.39;E;"500 corpo branco tampa azul acess. tampa branco e fundo azul
100 corpo branco tampa vermelho acess.branco e fundo vermelho"
6;312;1;2012-12-18 01:53:13.497;970.57;E;"ACES SP.VERDE 200 , PRETO 250, VERM 500, "
7;314;3;2012-12-18 01:53:13.497;153.90;C;Vazio
8;347;3;2012-12-18 01:53:13.497;874.00;E;"PRODTS GRAVADOS EM AZUL E VERM CESAR ASSIS
BCO 237, AG 0239, CC 705040465-9 CH 003627-7 P/
30D APOS SAIDA MERC"
9;314;2;2012-12-18 01:53:13.497;3163.50;E;"ACES P/SP. PRETO 4000, VERDE 1000, VERM.1000, AMAR 1000, 
BCO., 2000
"
10;252;2;2012-12-19 00:00:00.000;229.90;E;NULL
11;258;2;2012-12-19 00:00:00.000;399.00;E;"ACESSORIOS : 5.000 AMARELOS
             5.000 AMARELOS CITRICOS
             5.000 LARANJA CITRICOS
             5.000 LILAS
             5.000 ROSA
             5.000 VERDES"
12;501;2;2012-12-19 00:00:00.000;646.00;C;"AMOSTRAS DE 2 PENTES JACARES DE CADA COR
AMOSTRAS DA VERSATIL COM CORDAO"
13;150;2;2012-12-19 00:00:00.000;1927.55;E;"CANETAS 12.000 BRANCAS
         3.000 PRETAS 
ACESSORIOS : 4.000 VERM
             3.000 AZUIS
             8.000 PRETOS
ACES. DO NINJA AZUIS
"
14;398;2;2012-12-19 00:00:00.000;58.23;E;PENTES NAS CORES :  200 PRETOS  /  200 VERDES
15;578;3;2012-12-19 00:00:00.000;444.60;E;CARGA DA DORINHA ENVIAR SEDEX URGENTE
