,Ano,Genero,qtd,Idade
2581,2023,0,1667896,22 anos
10476,2033,1,1698488,34 anos
6902,2001,1,1834635,15 anos
5627,2050,0,1452538,63 anos
12681,2053,1,1327018,21 anos
13318,2058,1,316993,89 anos
6578,2059,0,1276545,23 anos
4041,2036,0,1652382,36 anos
12686,2053,1,1373203,25 anos
10851,2036,1,957878,69 anos
291,2002,0,607092,56 anos
1020,2009,0,1721555,16 anos
12321,2050,1,113300060,Total
7570,2007,1,1752436,17 anos
11968,2046,1,3796312,75 a 79 anosa
1131,2010,0,1734481,16 anos
7978,2010,1,1148386,80 anos ou mais
10097,2029,1,133319,87 anos
7018,2002,1,8515836,20 a 24 anos
1693,2015,0,1703408,22 anos
1922,2017,0,1717965,28 anos
11862,2045,1,660976,79 anos
6698,2060,0,1337437,30 anos
6637,2059,0,1225937,72 anos
12030,2047,1,1437654,34 anos
2160,2019,0,1524167,41 anos
8184,2012,1,520341,66 anos
12089,2047,1,536989,82 anos
7937,2010,1,1211719,45 anos
5279,2047,0,1642079,50 anos
5242,2047,0,7106330,20 a 24 anos
8068,2011,1,639959,62 anos
6662,2060,0,1084145,0 ano
8732,2017,1,869161,60 anos
10445,2033,1,1435991,8 anos
4886,2044,0,1220040,0 ano
4154,2037,0,1684250,38 anos
11867,2045,1,512763,82 anos
7278,2004,1,831245,51 anos
3775,2034,0,6701192,0 a 4 anos
5968,2053,0,5833225,70 a 74 anos
10572,2034,1,1467788,21 anos
10668,2035,1,1421252,9 anos
9730,2026,1,5097383,60 a 64 anos
12078,2047,1,895639,74 anos
2967,2026,0,862710,66 anos
8783,2018,1,1509670,10 anos
4897,2044,0,6684877,10 a 14 anos
6312,2056,0,823281,79 anos
6928,2001,1,1226514,37 anos
2177,2019,0,1108681,55 anos
9210,2021,1,81304,88 anos
3783,2034,0,1392981,6 anos
8039,2011,1,1353551,38 anos
6346,2057,0,6227836,15 a 19 anos
607,2005,0,1187020,42 anos
6264,2056,0,1435885,39 anos
8992,2020,1,7536789,0 a 4 anos
9891,2028,1,1508976,9 anos
4735,2042,0,6887959,60 a 64 anos
3396,2030,0,1355619,54 anos
798,2007,0,1734856,16 anos
1775,2015,0,200858,90 anos ou mais
2880,2025,0,155992,85 anos
12563,2052,1,1276537,15 anos
1401,2012,0,883578,56 anos
71,2000,0,501921,58 anos
9695,2026,1,1716362,30 anos
10902,2037,1,1507933,19 anos
9459,2024,1,1567488,19 anos
5411,2048,0,1256609,68 anos
13085,2056,1,3166772,80 a 84 anos
9717,2026,1,1437607,49 anos
4533,2040,0,722797,76 anos
12665,2053,1,1209650,8 anos
5692,2051,0,7124285,25 a 29 anos
5923,2053,0,1452511,32 anos
7964,2010,1,420954,68 anos
10589,2034,1,1695047,35 anos
6396,2057,0,1505912,56 anos
13352,2059,1,1295415,25 anos
6029,2054,0,1395760,28 anos
2899,2026,0,7502112,10 a 14 anos
5121,2046,0,1300169,11 anos
10700,2035,1,1655906,35 anos
5748,2051,0,1174897,71 anos
9791,2027,1,1490278,18 anos
11624,2043,1,1269771,65 anos
11674,2044,1,7007575,15 a 19 anos
11946,2046,1,1546261,56 anos
5994,2054,0,112678873,Total
1432,2012,0,155228,81 anos
8930,2019,1,1561803,40 anos
754,2006,0,288689,72 anos
5966,2053,0,1338438,68 anos
11716,2044,1,7869486,50 a 54 anos
12750,2053,1,749550,79 anos
4986,2044,0,451555,83 anos
12911,2055,1,1381807,28 anos
9614,2025,1,1203972,55 anos
8591,2016,1,1640802,35 anos
1023,2009,0,1753954,19 anos
8690,2017,1,1696659,25 anos
6949,2001,1,2754599,55 a 59 anos
12831,2054,1,1553800,54 anos
5292,2047,0,1485012,61 anos
5202,2046,0,675719,79 anos
7584,2007,1,1571904,29 anos
5543,2049,0,1669886,85 a 89 anos
10037,2029,1,1661929,38 anos
4453,2040,0,6957623,10 a 14 anos
6454,2058,0,1201515,12 anos
9940,2028,1,6863310,50 a 54 anos
2363,2021,0,1734509,25 anos
12869,2054,1,1884307,85 a 89 anos
5014,2045,0,6936806,15 a 19 anos
6649,2059,0,753024,81 anos
8609,2016,1,1193648,50 anos
4782,2043,0,1279158,6 anos
5732,2051,0,1501044,58 anos
9027,2020,1,1696443,29 anos
12998,2056,1,1188422,8 anos
5676,2051,0,1248625,11 anos
10625,2034,1,1061265,65 anos
6308,2056,0,1067344,75 anos
4531,2040,0,3381052,75 a 79 anos
6724,2060,0,1385540,52 anos
7688,2008,1,1774976,23 anos
5772,2052,0,113042592,Total
5088,2045,0,792600,76 anos
13089,2056,1,569857,83 anos
8548,2016,1,7527223,0 a 4 anos
6720,2060,0,1383410,49 anos
3954,2035,0,1436570,56 anos
325,2002,0,-,84 anos
4948,2044,0,1567050,52 anos
6072,2054,0,1427404,64 anos
4895,2044,0,1289674,8 anos
12113,2048,1,1267965,10 anos
1078,2009,0,2173867,65 a 69 anos
9746,2026,1,562118,73 anos
11811,2045,1,1445002,36 anos
2079,2018,0,656180,66 anos
6392,2057,0,1442058,53 anos
101,2000,0,-,82 anos
5822,2052,0,1425214,40 anos
6537,2058,0,802904,80 anos
6116,2055,0,1195315,8 anos
5268,2047,0,1485596,41 anos
375,2003,0,1314082,34 anos
789,2007,0,1791721,9 anos
8361,2014,1,1724750,29 anos
2881,2025,0,136302,86 anos
4436,2039,0,221508,87 anos
12012,2047,1,1384483,19 anos
8083,2011,1,1144121,75 a 79 anos
4200,2037,0,666360,76 anos
1864,2016,0,396405,72 anos
2360,2021,0,1760845,23 anos
1156,2010,0,1358332,37 anos
10100,2029,1,412903,90 anos ou mais
3201,2028,0,479410,76 anos
3370,2030,0,1728466,32 anos
12518,2051,1,1231349,70 anos
4959,2044,0,1466954,61 anos
8199,2012,1,193354,79 anos
3992,2035,0,184326,87 anos
9380,2023,1,1501729,45 anos
6651,2059,0,625168,83 anos
1859,2016,0,542061,68 anos
1421,2012,0,334201,73 anos
1164,2010,0,1237767,44 anos
1413,2012,0,520341,66 anos
5205,2046,0,626033,80 anos
1206,2010,0,182705,79 anos
2557,2023,0,1492085,2 anos
7742,2008,1,400700,68 anos
12248,2049,1,1475201,30 anos
11852,2045,1,1061754,70 anos
7358,2005,1,1654543,25 anos
8185,2012,1,484869,67 anos
4996,2045,0,6132043,0 a 4 anos
4652,2041,0,451786,82 anos
